"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high","r2"
"fixed","cond",NA,"ELEV_OVINOUI",0.744970703441484,0.175260135856665,-1.25143753312943,0.210774890815006,0.469772326126011,1.1813836578301,0.00136996717531493
"fixed","cond",NA,"ELEV_CAPRINOUI",1.1832617445784,0.400069215628107,0.497696758259975,0.618697793326687,0.609934957638063,2.29550436263656,0.000217787873633531
"fixed","cond",NA,"ELEV_BOVINOUI",0.644109507590393,0.187386594660901,-1.51203501615688,0.130524954808048,0.364187616628544,1.13918496627933,0.0017933008969267
"fixed","cond",NA,"ACTIV_LAITOUI",1.17715951026275,0.267529079563018,0.71767834535405,0.472955638283961,0.75402475822733,1.83774404949214,0.000454797125923398
"fixed","cond",NA,"ACTIV_VIANDEOUI",0.650698406327452,0.139390153737229,-2.00595930254623,0.0448605902663236,0.427600855092165,0.990195437999826,0.00343501574574716
"fixed","cond",NA,"OUVERTURE_BAT25 - 75 %",2.25568231548085,0.849146900457803,2.16086336950161,0.0307058952203105,1.07856144107011,4.71748990333349,0.0149096753007815
"fixed","cond",NA,"OUVERTURE_BAT5 - 25 %",1.03018364588146,0.388883737198193,0.0787758756229811,0.937210892866737,0.491580693604656,2.15890973353631,0.0149096753007815
"fixed","cond",NA,"OUVERTURE_BAT75 - 100 %",3.3861885139548,1.68853563152798,2.44599571228483,0.0144452718388145,1.27425481393078,8.99841423134878,0.0149096753007815
"fixed","cond",NA,"TEMPERATUREDEBUT",3.19791871845262,0.180170343401897,20.6337018196217,1.3676871279371e-94,2.86358996518238,3.57128089362414,0.15443020618554
"fixed","cond",NA,"TEMPERATUREFIN",2.46922118098292,0.126031060906606,17.709411453929,3.54762513215807e-70,2.23415846380383,2.72901557315409,0.088259966500263
"fixed","cond",NA,"ANIMAUXDEBUTA l'intérieur",0.981912960564134,0.118817322524852,-0.150840579236715,0.880101474875393,0.774591150078984,1.24472511985905,0.000321264442100543
"fixed","cond",NA,"ANIMAUXDEBUTAucun à proximité",0.709479632022455,0.147287658119381,-1.65329586138338,0.0982706648743182,0.472314053311476,1.06573442972015,0.000321264442100543
"fixed","cond",NA,"ANIMAUXDEBUTInt. & Ext.",1.07258611017324,0.151547963916241,0.495941730393631,0.619935522767482,0.813137704128422,1.41481689742782,0.000321264442100543
"fixed","cond",NA,"SITUATIONPIEGEIntérieur",1.66762124963602,0.189423074199679,4.50218921290192,6.72570627159931e-06,1.3347823954053,2.08345618118014,0.00386154667740526
"fixed","cond",NA,"VENTDEBUTVent fort à grand vent",0.553563508640314,0.0659325898194581,-4.9651579084745,6.86451933952595e-07,0.438313115377748,0.699117930418495,0.00215729966370246
"fixed","cond",NA,"VENTDEBUTVent moyen",0.905150684898963,0.0607781255943963,-1.48411532146476,0.137778329199342,0.793533526306349,1.0324677347744,0.00215729966370246
"fixed","cond",NA,"VENTDEBUTVent nul",1.11228050543562,0.0735610885270939,1.6090090488721,0.107614363002446,0.97705675616405,1.26621909624706,0.00215729966370246
"fixed","cond",NA,"NUAGEDEBUTComplètement couvert",0.968399867236151,0.0775149098309628,-0.401155142707555,0.688305904365459,0.827791326624473,1.13289215856743,8.7991348684222e-05
"fixed","cond",NA,"NUAGEDEBUTCouvert",1.04816678256083,0.0785895382555196,0.627419556245633,0.530384251908716,0.904917382425472,1.2140927176348,8.7991348684222e-05
"fixed","cond",NA,"NUAGEDEBUTTrès beau",1.03695625674059,0.0865358944993521,0.434858612526688,0.663665057516796,0.880493414643031,1.22122239702315,8.7991348684222e-05
"fixed","cond",NA,"PLUIEDEBUTBrouillard / Bruine",0.910922707138522,0.101564414430236,-0.836775017671591,0.40271904246881,0.732109084930094,1.13341057427228,0.000448098072263024
"fixed","cond",NA,"PLUIEDEBUTPluie fine",1.01575240926253,0.0949244177220362,0.16724708417947,0.867175638290829,0.845748241241289,1.21992917822488,0.000448098072263024
"fixed","cond",NA,"PLUIEDEBUTPluie forte",0.70453983890756,0.0885573236266543,-2.78618604005659,0.00533322533901077,0.550698064309834,0.901358506189735,0.000448098072263024
"fixed","cond",NA,"VENTFINVent fort à grand vent",0.558067391986204,0.0739020100863521,-4.40457660710163,1.05990681505105e-05,0.430493284490519,0.723447322452117,0.00273695397313595
"fixed","cond",NA,"VENTFINVent moyen",0.917148657430496,0.0667004173171779,-1.18920170695602,0.234360302986548,0.795308048254123,1.05765515849248,0.00273695397313595
"fixed","cond",NA,"VENTFINVent nul",1.22881509618974,0.0779958453931737,3.24629859823797,0.00116916140348491,1.08507243736654,1.3915997574213,0.00273695397313595
"fixed","cond",NA,"NUAGEFINComplètement couvert",0.912741501140454,0.0724641147847081,-1.15002639342151,0.250133000713789,0.781212971615089,1.06641476546629,0.000524346887132564
"fixed","cond",NA,"NUAGEFINCouvert",1.08054817440606,0.0877848896184564,0.95356303760852,0.340304873110626,0.921492086499523,1.26705847431375,0.000524346887132564
"fixed","cond",NA,"NUAGEFINTrès beau",0.88031670405541,0.0742377849139489,-1.51158997224806,0.13063820427958,0.746202091020462,1.03853568458806,0.000524346887132564
"fixed","cond",NA,"PLUIEFINBrouillard / Bruine",0.857379210536839,0.0757194533633152,-1.74234224279589,0.0814485758525093,0.721105945050879,1.01940514525769,0.000284410194170505
"fixed","cond",NA,"PLUIEFINPluie fine",0.881643321935203,0.0795559809039318,-1.39598031084936,0.162720424307212,0.738726853204835,1.05220886954465,0.000284410194170505
"fixed","cond",NA,"PLUIEFINPluie forte",0.887448238727414,0.115449567579512,-0.917853846000764,0.358695387576727,0.687715567082407,1.14518910741193,0.000284410194170505
"fixed","cond",NA,"ANIMAUXFINA l'intérieur",1.18349360426147,0.144846486597196,1.37651975498421,0.168660775499166,0.931082770672778,1.50433146809894,0.000272724195083769
"fixed","cond",NA,"ANIMAUXFINAucun à proximité",0.989725708831596,0.20229893469741,-0.0505258663817709,0.959703337332826,0.663025323775196,1.47740507578913,0.000272724195083769
"fixed","cond",NA,"ANIMAUXFINInt. & Ext.",1.14656347328211,0.165075256554317,0.949957942934793,0.342133623000482,0.86466377626339,1.52036876570193,0.000272724195083769
"fixed","cond",NA,"TEMPMINI",2.55305976127328,0.133270766765575,17.9556548102946,4.33439665453634e-72,2.30477169149199,2.82809536783806,0.091503423439328
"fixed","cond",NA,"TEMPMAX",2.47216951284369,0.135678419184782,16.491576359539,4.21799769066592e-61,2.22004779127555,2.75292366418938,0.0873111361637219
"fixed","cond",NA,"ALT",0.604108750333471,0.0543241411496106,-5.60471709716692,2.08595387086609e-08,0.506490500317385,0.720541415881994,0.0217022579784647
"fixed","cond",NA,"OVI",0.796199690785354,0.0789384698650966,-2.29872830428465,0.0215203722365089,0.655587142876306,0.966971293587895,0.00443882729454712
"fixed","cond",NA,"EQU",1.18560482478455,0.118262321275777,1.70682284479985,0.0878549849456235,0.975065673410787,1.44160423126721,0.00247581614528241
"fixed","cond",NA,"BETAIL",0.81695370622163,0.0773559448308716,-2.13514111337964,0.0327494852299399,0.678576215962001,0.983549588697388,0.0034935035109981
"fixed","cond",NA,"CAP",1.0170050659746,0.0915386488358294,0.187339879489021,0.851394157137934,0.85252695671074,1.21321595296948,2.42966021798574e-05
"fixed","cond",NA,"BOV",0.871266332057232,0.0827027546001252,-1.45179078935276,0.146559785735381,0.723357147165171,1.04941939725264,0.00162282576345415
"fixed","cond",NA,"SURF_CANT",0.945573933579833,0.0952108893275531,-0.555790858844717,0.578353835262796,0.776223993798797,1.15187120085005,0.000267650127564973
"fixed","cond",NA,"CLC_level2Arable land",1.05467204251917,1.05177131865567,0.0533766632700124,0.957431798713425,0.149367804692479,7.44694025303278,0.0128013462144886
"fixed","cond",NA,"CLC_level2Forests",3.04657112969846,4.1795886090376,0.812025189749802,0.416777177603325,0.207037290008248,44.8305503223231,0.0128013462144886
"fixed","cond",NA,"CLC_level2Heterogeneous agricultural areas",0.97985175849829,0.974601562655105,-0.0204636328781348,0.983673522756555,0.139482493136344,6.88336899523071,0.0128013462144886
"fixed","cond",NA,"CLC_level2Industrial, commercial and transport units",0.210336692943744,0.287819368314763,-1.13934140509962,0.254560785030341,0.0143930405883336,3.07381363423454,0.0128013462144886
"fixed","cond",NA,"CLC_level2Mine, dump and construction sites",1.96641889354637,3.27492527713328,0.4060306745412,0.68472006208256,0.0751731593360012,51.4386158444227,0.0128013462144886
"fixed","cond",NA,"CLC_level2Pastures",0.564440226868097,0.561418880622468,-0.574998651436755,0.56529220904145,0.0803475691617828,3.9651824321581,0.0128013462144886
"fixed","cond",NA,"CLC_level2Permanent crops",2.21629524644271,3.59603702355075,0.49048709318491,0.62378926078959,0.0921542731461683,53.3015393829168,0.0128013462144886
"fixed","cond",NA,"CLC_level2Scrub and/or herbaceous associations",1.23435708058177,1.68445938666398,0.154289379986341,0.877381570595139,0.0850849536316877,17.9072484305252,0.0128013462144886
"fixed","cond",NA,"CLC_level2Urban fabric",1.67403585175262,1.72129612714299,0.501090920482326,0.616307136511814,0.223116994602944,12.5602087727124,0.0128013462144886
